"KEY","en","notes","sp","fr","de","it","pt-br","ru","ko","ja","zh"
"ABILITY_ROUGHTOSS2_DESC","Throw an adjacent unit to another tile (even if it isnt empty), dealing a lot of damage to that unit and whatever it lands on.","","Lanza una unidad adyacente a una casilla (aunque no esté vacía) y le inflige mucho daño a esa unidad y a lo que sea sobre lo que aterrice.","Vous jetez une unité adjacente sur une case (même si elle est occupée) et lui infligez de lourds dégâts ainsi qu'à ce qui se trouve sur cette case.","Wirf eine benachbarte Einheit auf ein Feld (das Feld muss nicht leer sein) und verursache großen Schaden bei ihr und der Einheit, auf der sie landet.","Lanci un'unità adiacente su un'altra casella (anche se non è vuota), infliggendo molto danno sia all'unità sia a qualsiasi altra cosa su cui atterra.","Jogue uma unidade adjacente em outro espaço (mesmo que ele não esteja vazio), causando dano alto a essa unidade e no que ela aterrissar.","Швыряет соседнее существо на другую клетку (даже если она не пуста), нанося большой урон ему и тому, на кого оно приземлится.","","",""
"ABILITY_REGURGE_NAME","Regurge","","Regurgitación","Régurgitation","Erbrechen","Rigurgito","Regurgitar","Отрыгивание","","",""
"ABILITY_REGURGE_DESC","Take 2 damage and spawn a food pickup.","","Sufre 2 de daño y genera un recogible de comida.","Vous subissez 2&nbsp;points de dégâts et faites apparaître de la nourriture.","Erleide 2&nbsp;Schaden und lasse einen Essensgegenstand erscheinen.","Subisci 2 di danno e generi un raccoglibile cibo.","Sofra 2 de dano e gere um coletável de comida.","Получает 2 урона и создаёт еду.","","",""
"ABILITY_REGURGE2_DESC","Take 2 damage and spawn a big food pickup.","","Sufre 2 de daño y genera un recogible de comida grande.","Vous subissez 2&nbsp;points de dégâts. De la grosse nourriture apparaît.","Erleide 2&nbsp;Schaden und lasse einen großen Essensgegenstand erscheinen.","Subisci 2 di danno e generi un raccoglibile cibo grande.","Sofra 2 de dano e gere um coletável de comida grande.","Получает 2 урона и создаёт большую еду.","","",""
"ABILITY_GRAPNEL_NAME","Grapnel","","Garfio","Grappin","Enterhaken","Rampino","Engancho","Абордажный крюк","","",""
"ABILITY_GRAPNEL_DESC","Lob a hook at an object and pull yourself to it. Trample over tiles in your path.","","Lanza un gancho a un objeto y atrae a esta unidad hacia él. Pisotea las casillas que encuentre en su camino.","Vous lancez un grappin en cloche sur une entité, puis vous vous hissez jusqu'à elle. Piétinement sur les cases de votre trajectoire.","Wirf einen Haken auf ein Objekt und zieh dich an es heran. Trampel über Felder in deinem Weg.","Lanci un gancio contro un oggetto e ti ci trascini vicino. Calpesti ogni casella sul tuo cammino.","Lance um gancho em arco até um objeto e puxe-se em sua direção. Atropele durante todo o caminho.","Бросает крюк в объект и подтягивается к нему. Растаптывает клетки на пути.","","",""
"ABILITY_GRAPNEL2_DESC","Lob a hook at an object and pull yourself to it. Trample over tiles in your path.
[s:.7](This spell costs less.)[/s]","","Lanza un gancho a un objeto y atrae a esta unidad hacia él. Pisotea las casillas que encuentre en su camino.
[s:.7](Este hechizo cuesta menos).[/s]","Vous lancez un grappin en cloche sur une entité, puis vous vous hissez jusqu'à elle. Piétinement sur les cases de votre trajectoire.
[s:.7](Coût réduit.)[/s]","Wirf einen Haken auf ein Objekt und zieh dich an es heran. Trampel über Felder in deinem Weg.
[s:.7](Dieser Zauber kostet weniger.)[/s]","Lanci un gancio contro un oggetto e ti ci trascini vicino. Calpesti ogni casella sul tuo cammino.
[s:.7](Quest'incantesimo costa meno.)[/s]","Lance um gancho em arco até um objeto e puxe-se em sua direção. Atropele durante todo o caminho.
[s:.7](Este encantamento custa menos.)[/s]","Бросает крюк в объект и подтягивается к нему. Растаптывает клетки на пути.
[s:.7](Это заклинание стоит меньше.)[/s]","","",""
"ABILITY_REHOOK_NAME","Rehook","","Reenganche","Re-crochet","Frischer Haken","Riaggancio","Re-enganchar","Перезацеп","","",""
"ABILITY_REHOOK_DESC","Refresh your weapon ability.","","Restaura la acción de arma.","Votre compétence d'arme est rechargée.","Frische deine Waffenfähigkeit auf.","Ricarichi l'abilità della tua arma.","Reinicie sua habilidade de arma.","Восстанавливает способность оружия.","","",""
"ABILITY_REHOOK2_DESC","Refresh your weapon and movement action.","","Restaura las acciones de arma y de movimiento.","Votre compétence d'arme et votre action de déplacement sont rechargées.","Frische deine Waffenfähigkeit und deine Bewegungsaktion auf.","Ricarichi la tua arma e l'azione di movimento.","Reinicie sua ação de arma e movimento.","Восстанавливает действия оружия и перемещения.","","",""
"ABILITY_CONTAMINATE_NAME","Contaminate","","Contaminación","Contamination","Kontaminieren","Contaminazione","Contaminar","Заражение","","",""
"ABILITY_CONTAMINATE_DESC","Collect an adjacent pickup. Instead of that pickup's normal effects, add Poison 1 to your weapon for the rest of the battle.","","Recolecta un recogible adyacente. En vez de los efectos normales de ese recogible, añade 1 de veneno al arma durante el resto del combate.","Vous récupérez une ressource adjacente. Au lieu d'obtenir les effets habituels, Poison&nbsp;+1&nbsp;à votre arme pendant le reste du combat.","Sammle einen benachbarten Gegenstand ein. Statt seiner ursprünglichen Effekte verleihst du deiner Waffe für den Rest des Kampfes Gift&nbsp;1.","Prendi un raccoglibile adiacente. Invece dei normali effetti di quel raccoglibile, aggiungi Veleno 1 alla tua arma per il resto della battaglia.","Pegue um coletável adjacente. Ao invés de receber os efeitos normais do coletável, adicione veneno 1 à sua arma pelo resto da batalha.","Подбирает соседний предмет. Вместо обычных эффектов предмета добавляет Яд 1 к вашему оружию до конца боя.","","",""
"ABILITY_CONTAMINATE2_DESC","Collect a pickup in range 5. Instead of that pickup's normal effects, add Poison 1 to your weapon for the rest of the battle.","","Recolecta un recogible en un alcance de 5 casillas. En vez de los efectos normales de ese recogible, añade 1 de veneno al arma durante el resto del combate.","Vous récupérez une ressource dans un rayon de 5&nbsp;cases. Au lieu d'obtenir les effets habituels, Poison&nbsp;+1&nbsp;à votre arme pendant le reste du combat.","Sammle einen Gegenstand innerhalb von 5&nbsp;Feldern ein. Statt seiner ursprünglichen Effekte verleihst du deiner Waffe für den Rest des Kampfes Gift&nbsp;1.","Prendi un raccoglibile in un raggio d'azione 5. Invece dei normali effetti di quel raccoglibile, aggiungi Veleno 1 alla tua arma per il resto della battaglia.","Pegue um coletável em alcance 5. Ao invés de receber os efeitos normais do coletável, adicione veneno 1 à sua arma pelo resto da batalha.","Подбирает предмет в пределах дальности 5. Вместо обычных эффектов предмета добавляет Яд 1 к вашему оружию до конца боя.","","",""
"ABILITY_LODGEHOOK_NAME","Lodge Hook","","Enganche de garfio","Crochet sanglant","Haken befestigen","Gancio Conficcato","Gancho Permanente","Засевший крюк","","",""
"ABILITY_LODGEHOOK_DESC","Inflict Bleed 10 on an adjacent unit. You can't use your weapon for the rest of the battle.
[s:.7](Castable once per battle.)[/s]","","Inflige 10 de hemorragia a una unidad adyacente. No puede usar el arma durante el resto del combate.
[s:.7](Se puede lanzar una vez por combate).[/s]","Saignement&nbsp;+10&nbsp;à une unité adjacente. Impossible d'utiliser votre arme pendant le reste du combat.
[s:.7](Une fois par combat.)[/s]","Verursache bei einer benachbarten Einheit Blutung&nbsp;10. Du kannst deine Waffe für den Rest des Kampfes nicht benutzen.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Infliggi Sanguinamento 10 a un'unità adiacente. Non puoi usare la tua arma per il resto della battaglia.
[s:.7](Lanciabile una volta per battaglia.)[/s]","Aplique sangramento 10 em uma unidade adjacente. Você não pode mais usar sua arma pelo resto da batalha.
[s:.7](Um lançamento por batalha.)[/s]","Накладывает Кровотечение 10 на соседнее существо. Вы не можете использовать оружие до конца боя.
[s:.7](Можно использовать один раз за бой.)[/s]","","",""
"ABILITY_LODGEHOOK2_DESC","Inflict Bleed 10, Immobilize 2, and Bruise 2 on an adjacent unit. You can't use your weapon for the rest of the battle.
[s:.7](Castable once per battle.)[/s]","","Inflige 10 de hemorragia, 2 de inmovilización y 2 de moratón a una unidad adyacente. No puede usar el arma durante el resto del combate.
[s:.7](Se puede lanzar una vez por combate).[/s]","Saignement&nbsp;+10, Immobilisation&nbsp;+2&nbsp;et Contusion&nbsp;+2&nbsp;à une unité adjacente. Impossible d'utiliser votre arme pendant le reste du combat.
[s:.7](Une fois par combat.)[/s]","Verursache bei einer benachbarten Einheit Blutung&nbsp;10, Bewegungsunfähig&nbsp;2 und Beulen&nbsp;2. Du kannst deine Waffe für den Rest des Kampfes nicht benutzen.
[s:.7](Einmal pro Kampf verwendbar.)[/s]","Infliggi Sanguinamento 10, Immobilizzazione 2 e Livido 2 a un'unità adiacente. Non puoi usare la tua arma per il resto della battaglia.
[s:.7](Lanciabile una volta per battaglia.)[/s]","Aplique sangramento 10, imobilização 2 e contusão 2 em uma unidade adjacente. Você não pode mais usar sua arma pelo resto da batalha.
[s:.7](Um lançamento por batalha.)[/s]","Наложить Кровотечение 10, Обездвиживание 2 и Ушиб 2 на соседнего юнита. Вы не можете использовать оружие до конца боя.
[s:.7](Можно использовать один раз за бой.)[/s]","","",""
"ABILITY_BUTCHER_NAME","Butcher","","Descuartizamiento","Boucherie","Schlachter","Macellaio","Açougueiro","Мясник","","",""
"ABILITY_BUTCHER_DESC","Kill every unit with 3 or less health. They become meat.","","Mata a todas las unidades con 3 de salud o menos y se convierten en carne.","Vous tuez toutes les unités avec 3&nbsp;PV ou moins. Elles se transforment en viande.","Töte jede Einheit mit 3&nbsp;LP oder weniger. Getötete Einheiten werden zu Fleisch.","Uccidi ogni unità con 3 o meno punti salute. Diventano carne.","Mate todas as unidades com 3 ou menos de saúde. Elas se tornam carne.","Убить каждого юнита с 3 или менее ОЗ. Они превращаются в мясо.","","",""
"ABILITY_BUTCHER2_DESC","Kill every unit with 3 or less health. They become meat. Gain 5 health for each unit killed.","","Mata a todas las unidades con 3 de salud o menos y se convierten en carne. Obtiene 5 PS por cada unidad asesinada.","Vous tuez toutes les unités avec 3&nbsp;PV ou moins. Elles se transforment en viande. PV&nbsp;+5&nbsp;pour chaque unité tuée.","Töte jede Einheit mit 3&nbsp;LP oder weniger. Getötete Einheiten werden zu Fleisch. Erhalte 5&nbsp;LP für jede getötete Einheit.","Uccidi ogni unità con 3 o meno punti salute. Diventano carne. Guadagni 5 salute per ogni unità uccisa.","Mate todas as unidades com 3 ou menos de saúde. Elas se tornam carne. Obtenha 5 de saúde para cada unidade que é morta.","Убить каждого юнита с 3 или менее ОЗ. Они превращаются в мясо. Получить 5 ОЗ за каждого убитого юнита.","","",""
"ABILITY_CHONKWALK_NAME","Chonkwalk","","Paseo rechoncho","Promenade douloureuse","Fetter Gang","Passo Pesante","Caminhada Desastrada","Тяжёлая поступь","","",""
"ABILITY_CHONKWALK_DESC","Deal 5 damage to yourself. Refresh your movement action.","","Se autoinflige 5 de daño. Restaura la acción de movimiento.","Vous subissez 5&nbsp;points de dégâts. Votre action de déplacement est rechargée.","Verursache 5&nbsp;Schaden bei dir selbst. Frische deine Bewegungsaktion auf.","Ti autoinfliggi 5 di danno. Ricarichi la tua azione di movimento.","Cause 5 de dano contra si. Reinicie sua ação de movimento.","Нанести себе 5 урона. Восстановить действие перемещения.","","",""
"ABILITY_CHONKWALK2_DESC","Deal 5 damage to yourself. Refresh your movement action.
PASSIVE: You have Trample.","","Se autoinflige 5 de daño. Restaura la acción de movimiento.
Pasiva: Obtiene pisotón.","Vous subissez 5&nbsp;points de dégâts. Votre action de déplacement est rechargée. PASSIF&nbsp;: vous obtenez Piétinement.","Verursache 5&nbsp;Schaden bei dir selbst. Frische deine Bewegungsaktion auf.
Passiveffekt: Du trampelst über Felder.","Ti autoinfliggi 5 di danno. Ricarichi la tua azione di movimento.
ABILITÀ PASSIVA: Ottieni Calpestamento.","Cause 5 de dano contra si. Reinicie sua ação de movimento.
PASSIVO: Você possui atropelamento.","Нанести себе 5 урона. Восстановить действие перемещения.
ПАССИВКА: У вас есть Затаптывание.","","",""
"ABILITY_BOWL_NAME","Bowl","","Bolo","Bowling","Bowling","Bowling","Boliche","Боулинг","","",""
"ABILITY_BOWL_DESC","Roll the bowling ball cat. If it hits something, deal 10 damage in a large cone with knockback.","","Lanza un gato bola de bolos. Si golpea algo, inflige 10 de daño en un área cónica con retroceso.","Vous lancez le chat boule de bowling. S'il percute quelque chose, Dégâts&nbsp;+10&nbsp;en large cône et Recul.","Wirf die Bowlingkugel-Katze. Wenn sie etwas trifft, verursacht sie 10&nbsp;Schaden in einem großen kegelförmigen Bereich und stößt Einheiten zurück.","Lanci il gatto-palla da bowling. Se colpisce qualcosa, infliggi 10 di danno in un ampio cono con contraccolpo.","Lance o gato bola de boliche. Se ele acertar algo, cause 10 de dano em um cone grande com empurrão.","Катнуть кото-шар для боулинга. Если он во что-то врежется, нанести 10 урона в широком конусе с Отбрасыванием.","","",""
"ABILITY_BOWL2_DESC","Roll the bowling ball cat. If it hits something, deal 15 damage and inflict Bruise in a large cone with knockback.","","Lanza un gato bola de bolos. Si golpea algo, inflige 15 de daño y moratón en un área cónica con retroceso.","Vous lancez le chat boule de bowling. S'il percute quelque chose, Dégâts&nbsp;+15&nbsp;et Contusion en large cône et Recul.","Wirf die Bowlingkugel-Katze. Wenn sie etwas trifft, verursacht sie 15&nbsp;Schaden in einem großen kegelförmigen Bereich, Beulen und stößt Einheiten zurück.","Lanci il gatto-palla da bowling. Se colpisce qualcosa, infliggi 15 di danno e Livido in un ampio cono con contraccolpo.","Lance o gato bola de boliche. Se ele acertar algo, cause 15 de dano e aplique contusão em um cone grande com empurrão.","Катнуть кото-шар для боулинга. Если он во что-то врежется, нанести 15 урона и наложить Ушиб в широком конусе с Отбрасыванием.","","",""
"ABILITY_TAINTEDOFFERING_NAME","Tainted Offering","","Oferta corrompida","Offrande corrompue","Verdorbenes Opfer","Offerta Contaminata","Oferenda Contaminada","Осквернённое подношение","","",""
"ABILITY_TAINTEDOFFERING_DESC","Jump to any open tile and fall asleep. While asleep, inflict Rot 1 and Poison 1 on units that contact you.","","Salta a cualquier casilla vacía y se duerme. Mientras duerme, inflige 1 de putrefacción y 1 de veneno a las unidades que entren en contacto con esta.","Vous sautez sur n'importe quelle case libre et vous vous endormez. Tant que vous dormez, Décomposition&nbsp;+1&nbsp;et Poison&nbsp;+1&nbsp;aux unités qui vous touchent.","Spring auf ein beliebiges Feld und schlaf ein. Während du schläfst, verursachst du Fäulnis&nbsp;1 und Gift&nbsp;1 bei Einheiten, die dich berühren.","Salti su una casella libera e ti addormenti. Mentre dormi, infliggi Putrefazione 1 e Veleno 1 alle unità che entrano in contatto con te.","Pule para qualquer espaço aberto e adormeça. Enquanto estiver dormindo, aplique apodrecimento 1 e veneno 1 em unidades que entrarem em contato com você.","Прыгнуть на любую свободную клетку и уснуть. Пока спите, накладывать Гниение 1 и Яд 1 на юнитов, которые касаются вас.","","",""
"ABILITY_TAINTEDOFFERING2_DESC","Jump to any open tile and fall asleep. While asleep, inflict Rot 2 and Poison 2 on units that contact you.","","Salta a cualquier casilla vacía y se duerme. Mientras duerme, inflige 2 de putrefacción y 2 de veneno a las unidades que entren en contacto con esta.","Vous sautez sur n'importe quelle case libre et vous vous endormez. Tant que vous dormez, Décomposition&nbsp;+2&nbsp;et Poison&nbsp;+2&nbsp;aux unités qui vous touchent.","Spring auf ein beliebiges Feld und schlaf ein. Während du schläfst, verursachst du Fäulnis&nbsp;2 und Gift&nbsp;2 bei Einheiten, die dich berühren.","Salti su una casella libera e ti addormenti. Mentre dormi, infliggi Putrefazione 2 e Veleno 2 alle unità che entrano in contatto con te.","Pule para qualquer espaço aberto e adormeça. Enquanto estiver dormindo, aplique apodrecimento 2 e veneno 2 em unidades que entrarem em contato com você.","Прыгнуть на любую свободную клетку и уснуть. Пока спите, накладывать Гниение 2 и Яд 2 на юнитов, которые касаются вас.","","",""
"ABILITY_DELICIOUSSCENT_NAME","Delicious Scent","","Olor delicioso","Odeur délicieuse","Verlockendes Aroma","Fragranza Deliziosa","Aroma Delicioso","Восхитительный аромат","","",""
"ABILITY_DELICIOUSSCENT_DESC","Inflict Attraction on all enemies within range 4.","","Inflige atracción a todos los enemigos en un alcance de 4 casillas.","Attraction à tous les ennemis dans un rayon de 4&nbsp;cases.","Verursache bei allen Gegnern innerhalb von 4&nbsp;Feldern Anziehung.","Infliggi Attrazione a tutti i nemici nel raggio d'azione 4.","Aplique atração em inimigos em alcance 4.","Наложить Притяжение на всех врагов в радиусе 4.","","",""
"ABILITY_DELICIOUSSCENT2_DESC","Jump to a tile, then inflict Attraction on all enemies within range 4.","","Salta a una casilla e inflige atracción a todos los enemigos en un alcance de 4 casillas.","Vous sautez sur une case, puis infligez Attraction à tous les ennemis dans un rayon de 4&nbsp;cases.","Spring auf ein Feld und verursache dann bei allen Gegnern innerhalb von 4&nbsp;Feldern Anziehung.","Salti su una casella, quindi infliggi Attrazione a tutti i nemici nel raggio d'azione 4.","Pule até um espaço, e então aplique atração em inimigos em alcance 4.","Прыгнуть на клетку, затем наложить Притяжение на всех врагов в радиусе 4.","","",""
"ABILITY_COUGH_NAME","Cough","","Tos","Toux","Husten","Tosse","Tosse","Кашель","","",""
"ABILITY_COUGH_DESC","Take 2 damage.
Summon a Rot Fly.","","Sufre 2 de daño.
Invoca a una mosca putrefacta.","Vous subissez 2&nbsp;points de dégâts. Vous invoquez une mouche putride.","Erleide 2&nbsp;Schaden.
Beschwöre eine Fäulnisfliege.","Subisci 2 di danno.
Evochi una Mosca Putrefatta.","Sofra 2 de dano.
Invoque uma mosca apodrecida.","Получить 2 урона.
Призвать Гнилую муху.","","",""
"ABILITY_COUGH2_DESC","Take 2 damage.
Summon a [img:champion] Rot Fly.","","Sufre 2 de daño.
Invoca a una mosca putrefacta [img:champion].","Vous subissez 2&nbsp;points de dégâts. Vous invoquez une mouche putride [img:champion].","Erleide 2&nbsp;Schaden.
Beschwöre eine [img:champion]&nbsp;Fäulnisfliege.","Subisci 2 di danno.
Evochi una Mosca Putrefatta [img:champion].","Sofra 2 de dano.
Invoque um [img:champion] mosca apodrecida.","Получить 2 урона.
Призвать [img:champion] Гнилую муху.","","",""
"ABILITY_REFLUX_NAME","Reflux","","Reflujo","Remontées","Reflux","Reflusso","Refluxo","Рефлюкс","","",""
"ABILITY_REFLUX_DESC","Take 2 damage and gain Burn 2, then fire a projectile that spawns a lava tile at short range.","","Sufre 2 de daño y obtiene 2 de quemadura; luego, dispara un proyectil que genera una casilla de lava a corto alcance.","Vous subissez 2&nbsp;points de dégâts, Brûlure&nbsp;+2, puis vous lancez un projectile qui génère une case de lave à proximité.","Erleide 2&nbsp;Schaden und Verbrennung&nbsp;2. Feuere ein Geschoss ab, das mit kurzer Reichweite ein Lavafeld erschafft.","Subisci 2 di danno e ottieni Bruciatura 2, quindi spari un proiettile che genera una casella di lava a breve distanza.","Sofra 2 de dano e queimadura 2, e então dispare um projétil de curto alcance que gera um espaço de lava.","Получить 2 урона и Ожог 2, затем выстрелить снарядом, создающим клетку лавы на малой дальности.","","",""
"ABILITY_REFLUX2_DESC","Take 2 damage and gain Burn 2, then fire a projectile that spawns a lava tile at long range.","","Sufre 2 de daño y obtiene 2 de quemadura; luego, dispara un proyectil que genera una casilla de lava a largo alcance.","Vous subissez 2&nbsp;points de dégâts, Brûlure&nbsp;+2, puis vous lancez un projectile qui génère une case de lave à distance.","Erleide 2&nbsp;Schaden und Verbrennung&nbsp;2. Feuere ein Geschoss ab, das mit langer Reichweite ein Lavafeld erschafft.","Subisci 2 di danno e ottieni Bruciatura 2, quindi spari un proiettile che genera una casella di lava a lunga distanza.","Sofra 2 de dano e queimadura 2, e então dispare um projétil de longo alcance que gera um espaço de lava.","Получить 2 урона и Ожог 2, затем выстрелить снарядом, создающим клетку лавы на большой дальности.","","",""
"ABILITY_TRYPTOPHAN_NAME","Yawn","","Bostezo","Bâillement","Gähnen","Sbadiglio","Bocejo","Зевок","","",""
"ABILITY_TRYPTOPHAN_DESC","You and adjacent units fall asleep","","Esta unidad y las adyacentes se duermen.","Vous et les unités adjacentes vous endormez.","Du und benachbarte Einheiten schlafen ein.","Tu e le unità adiacenti vi addormentate.","Você e todas as unidades adjacentes adormecem.","Вы и соседние юниты засыпают.","","",""
"ABILITY_TRYPTOPHAN2_DESC","You and adjacent units fall asleep. You gain all stats up and heal 4.","","Esta unidad y las adyacentes se duermen. Obtiene aumento total y recupera 4 PS.","Vous et les unités adjacentes vous endormez. Hausse de stats et PV&nbsp;+4.","Du und benachbarte Einheiten schlafen ein. Du erhältst einen Bonus auf alle Attribute und heilst dich um 4&nbsp;LP.","Tu e le unità adiacenti vi addormentate. Ottieni Aumento delle Statistiche e rigeneri 4 PS.","Você e todas as unidades adjacentes adormecem. Você obtém todos os atributos aumentados e cura 4 PV.","Вы и соседние юниты засыпают. Вы получаете повышение всех характеристик и исцеление 4.","","",""
"ABILITY_HOOKBIND_NAME","Hook Bind","","Vínculo de gancho","Crochet entravant","Hakenfessel","Legatura Uncinata","Corda de Gancho","Связка крюком","","",""
"ABILITY_HOOKBIND_DESC","Melee attack that immobilizes.","","Un ataque cuerpo a cuerpo que inmoviliza.","Attaque au corps-à-corps qui immobilise.","Ein Nahkampfangriff, der bewegungsunfähig macht.","Un attacco corpo a corpo che immobilizza.","Um ataque corpo-a-corpo que imobiliza.","Атака ближнего боя с обездвиживанием.","","",""
"ABILITY_HOOKBIND2_DESC","Melee attack that immobilizes and inflicts Bleed 2.","","Un ataque cuerpo a cuerpo que inmoviliza e inflige 2 de hemorragia.","Attaque au corps-à-corps qui immobilise et inflige Saignement&nbsp;+2.","Ein Nahkampfangriff, der bewegungsunfähig macht und Blutung&nbsp;2 verursacht.","Un attacco corpo a corpo che immobilizza e infligge Sanguinamento 2.","Um ataque corpo-a-corpo que imobiliza e aplica sangramento 2.","Атака ближнего боя с обездвиживанием и наложением Кровотечения 2.","","",""
"//psychic","","","","","","","","","","",""
"ABILITY_TELEKINESIS_NAME","Telekinesis","","Telequinesis","Télékinésie","Telekinese","Telecinesi","Telecinese","Телекинез","","",""
"ABILITY_TELEKINESIS_DESC","Push a unit within your line of sight away from you 10 tiles.","","Empuja 10 casillas a una unidad en su campo visual.","Vous repoussez une unité dans votre ligne de mire sur 10&nbsp;cases.","Stoße eine Einheit in deiner Sichtlinie 10&nbsp;Felder von dir weg.","Allontani da te di 10 caselle un'unità che si trova nel tuo campo visivo.","Empurre uma unidade dentro do seu campo de visão para afastá-la por 10 espaços.","Оттолкнуть юнита в вашей линии обзора от вас на 10 клеток.","","",""
"ABILITY_TELEKINESIS2_DESC","Push a unit within your line of sight away from you 10 tiles with Chain Knockback.","","Empuja 10 casillas a una unidad en su campo visual con retroceso encadenado.","Vous repoussez une unité dans votre ligne de mire sur 10&nbsp;cases avec Recul en chaîne.","Stoße eine Einheit in deiner Sichtlinie 10&nbsp;Felder mit Kettenrückstoß von dir weg.","Allontani da te di 10 caselle un'unità che si trova nel tuo campo visivo con Contraccolpo a Catena.","Empurre uma unidade dentro do seu campo de visão para afastá-la por 10 espaços com empurrão encadeado.","Оттолкнуть юнита в вашей линии обзора от вас на 10 клеток с цепным Отбрасыванием.","","",""
"ABILITY_SUGGESTION_NAME","Suggestion","","Sugestión","Suggestion","Vorschlag","Suggestione","Sugestão","Внушение","","",""
"ABILITY_SUGGESTION_DESC","Cause an enemy within your line of sight to attack another enemy if it can.","","Hace que un enemigo en su campo visual ataque a otro enemigo si puede.","Vous incitez un ennemi dans votre ligne de mire à attaquer un autre ennemi si c'est possible.","Zwinge einen Gegner in deiner Sichtlinie einen anderen Gegner anzugreifen, wenn er kann.","Fai in modo che un nemico all'interno del tuo campo visivo ne attacchi un altro, se ne ha la possibilità.","Faça com que um inimigo dentro do seu campo de visão ataque outro inimigo se puder.","Заставить врага в вашей линии обзора атаковать другого врага (если он может).","","",""
"ABILITY_SUGGESTION2_DESC","Cause enemies in a target area within your line of sight to each attack another enemy if they can.","","Hace que los enemigos dentro del área objetivo en su campo visual ataquen a otro enemigo si pueden.","Vous incitez des ennemis dans la zone ciblée dans votre ligne de mire à attaquer un autre ennemi si c'est possible.","Zwinge Gegner in einem Zielbereich in deiner Sichtlinie jeweils einen anderen Gegner anzugreifen, wenn sie können.","Fai in modo che i nemici in un'area bersaglio all'interno del tuo campo visivo attacchino un altro nemico, se ne hanno la possibilità.","Faça com que um inimigo em uma área alvo dentro do seu campo de visão ataque outro inimigo se puder.","Заставить врагов в целевой области в вашей линии обзора атаковать других врагов (если они могут).","","",""
"ABILITY_MINDCONTROL_NAME","Mind Control","","Control mental","Manipulation mentale","Gedankenkontrolle","Controllo Mentale","Controle Mental","Контроль разума","","",""
"ABILITY_MINDCONTROL_DESC","Charm an enemy within your line of sight for the rest of the battle.","","Inflige embrujo a un enemigo en el campo visual de esta unidad durante el resto del combate.","Vous envoûtez un ennemi dans votre ligne de mire pendant le reste du combat.","Verursache für den Rest des Kampfes Charme bei einem Gegner in deiner Sichtlinie.","Affascini un nemico all'interno del tuo campo visivo per il resto della battaglia.","Enfeitice um inimigo dentro do seu campo de visão pelo resto da batalha.","Очаровать врага в вашей линии обзора до конца боя.","","",""
"ABILITY_MINDCONTROL2_DESC","Charm an enemy within your line of sight for the rest of the battle. That unit immediately takes an extra turn.","","Inflige embrujo a un enemigo en el campo visual de esta unidad durante el resto del combate. Esa unidad juega un turno extra inmediatamente.","Vous envoûtez un ennemi dans votre ligne de mire pendant le reste du combat. Cette unité joue immédiatement un tour supplémentaire.","Verursache für den Rest des Kampfes Charme bei einem Gegner in deiner Sichtlinie. Diese Einheit führt sofort einen zusätzlichen Zug aus.","Affascini un nemico all'interno del tuo campo visivo per il resto della battaglia. Quell'unità ottiene immediatamente un turno aggiuntivo.","Enfeitice um inimigo dentro do seu campo de visão pelo resto da batalha. Essa unidade obtém um turno adicional imediatamente.","Очаровать врага в вашей линии обзора до конца боя. Этот юнит немедленно получает дополнительный ход.","","",""
"ABILITY_MEGAGRAV_NAME","Mega Grav","","Megagravitación","Méga lancer","Megagravitation","Mega Gravità","Mega Gravidade","Мега-гравитация","","",""
"ABILITY_MEGAGRAV_DESC","Damage and throw each unit near you to random tiles.","","Inflige daño a cada unidad cerca de esta y las lanza a casillas al azar.","Vous infligez des dégâts aux unités à proximité et les lancez sur des cases au hasard.","Verursache bei Einheiten in deiner Nähe Schaden und schleudere sie auf zufällige Felder.","Infliggi danno e lanci ogni unità vicina a te su delle caselle casuali.","Cause dano e jogue qualquer unidade próxima em espaços aleatórios.","Нанести урон и отбросить каждого юнита рядом с вами на случайные клетки.","","",""
"ABILITY_MEGAGRAV2_DESC","Damage and throw each unit in a target area to random tiles.","","Inflige daño a cada unidad en un área objetivo y las lanza a casillas al azar.","Vous infligez des dégâts aux unités dans la zone ciblée et les lancez sur des cases au hasard.","Verursache bei Einheiten in einem Zielbereich Schaden und schleudere sie auf zufällige Felder.","Infliggi danno e lanci ogni unità in un'area bersaglio su delle caselle casuali.","Cause dano e jogue qualquer unidade dentro de uma área alvo em espaços aleatórios.","Нанести урон и отбросить каждого юнита в целевой области на случайные клетки.","","",""
"ABILITY_PSYFLUTTER_NAME","Psyflutter","","Aleteo psíquico","Déplacement précis","Psychoflattern","Fluttazione Psionica","Psicotremor","Псипорхание","","",""
"ABILITY_PSYFLUTTER_DESC","Teleport exactly three tiles away.","","Se teletransporta a exactamente 3 casillas de distancia.","Vous vous téléportez à exactement 3&nbsp;cases de distance.","Teleportiere dich genau drei Felder.","Ti teletrasporti esattamente a tre caselle di distanza.","Teletransporte-se para exatamente 3 espaços de distância.","Телепортироваться ровно на три клетки.","","",""
